State,Year,Source,Total
Alabama,2010,Biomass,169088.0
Alabama,2010,Coal,718684.0
Alabama,2010,Elec,310023.0
Alabama,2010,FossFuel,1785688.0
Alabama,2010,Geo,138.0
Alabama,2010,Hydro,84919.0
Alabama,2010,NatGas,544405.0
Alabama,2010,LPG,13088.0
Alabama,2011,Biomass,179611.0
Alabama,2011,Coal,651032.0
Alabama,2011,Elec,303652.0
Alabama,2011,FossFuel,1783839.0
Alabama,2011,Geo,135.0
Alabama,2011,Hydro,86313.0
Alabama,2011,NatGas,609288.0
Alabama,2011,LPG,10343.0
Alabama,2012,Biomass,181878.0
Alabama,2012,Coal,547004.0
Alabama,2012,Elec,294055.0
Alabama,2012,FossFuel,1740315.0
Alabama,2012,Geo,141.0
Alabama,2012,Hydro,70754.0
Alabama,2012,NatGas,677380.0
Alabama,2012,LPG,8628.0
Alabama,2013,Biomass,194432.0
Alabama,2013,Coal,565051.0
Alabama,2013,Elec,299751.0
Alabama,2013,FossFuel,1689491.0
Alabama,2013,Geo,141.0
Alabama,2013,Hydro,123071.0
Alabama,2013,NatGas,625869.0
Alabama,2013,LPG,9094.0
Alabama,2014,Biomass,186649.0
Alabama,2014,Coal,575912.0
Alabama,2014,Elec,308765.0
Alabama,2014,FossFuel,1724891.0
Alabama,2014,Geo,141.0
Alabama,2014,Hydro,90030.0
Alabama,2014,NatGas,651532.0
Alabama,2014,LPG,8460.0
Alaska,2010,Biomass,4178.0
Alaska,2010,Coal,14548.0
Alaska,2010,Elec,21315.0
Alaska,2010,FossFuel,634777.0
Alaska,2010,Geo,153.0
Alaska,2010,Hydro,13982.0
Alaska,2010,NatGas,334978.0
Alaska,2010,LPG,1353.0
Alaska,2011,Biomass,4247.0
Alaska,2011,Coal,15481.0
Alaska,2011,Elec,21562.0
Alaska,2011,FossFuel,635981.0
Alaska,2011,Geo,214.0
Alaska,2011,Hydro,13066.0
Alaska,2011,NatGas,339819.0
Alaska,2011,LPG,1247.0
Alaska,2012,Biomass,4032.0
Alaska,2012,Coal,15521.0
Alaska,2012,Elec,21893.0
Alaska,2012,FossFuel,629768.0
Alaska,2012,Geo,186.0
Alaska,2012,Hydro,14988.0
Alaska,2012,NatGas,347228.0
Alaska,2012,LPG,1314.0
Alaska,2013,Biomass,5168.0
Alaska,2013,Coal,14819.0
Alaska,2013,Elec,21387.0
Alaska,2013,FossFuel,600660.0
Alaska,2013,Geo,186.0
Alaska,2013,Hydro,13696.0
Alaska,2013,NatGas,332963.0
Alaska,2013,LPG,1272.0
Alaska,2014,Biomass,5476.0
Alaska,2014,Coal,18225.0
Alaska,2014,Elec,21034.0
Alaska,2014,FossFuel,581369.0
Alaska,2014,Geo,186.0
Alaska,2014,Hydro,14633.0
Alaska,2014,NatGas,329585.0
Alaska,2014,LPG,1190.0
Arizona,2010,Biomass,29289.0
Arizona,2010,Coal,457909.0
Arizona,2010,Elec,248506.0
Arizona,2010,FossFuel,1292346.0
Arizona,2010,Geo,339.0
Arizona,2010,Hydro,64606.0
Arizona,2010,NatGas,336208.0
Arizona,2010,LPG,7838.0
Arizona,2011,Biomass,28565.0
Arizona,2011,Coal,459909.0
Arizona,2011,Elec,255708.0
Arizona,2011,FossFuel,1253992.0
Arizona,2011,Geo,345.0
Arizona,2011,Hydro,89135.0
Arizona,2011,NatGas,293134.0
Arizona,2011,LPG,8759.0
Arizona,2012,Biomass,27267.0
Arizona,2012,Coal,420570.0
Arizona,2012,Elec,256116.0
Arizona,2012,FossFuel,1248032.0
Arizona,2012,Geo,345.0
Arizona,2012,Hydro,63918.0
Arizona,2012,NatGas,339043.0
Arizona,2012,LPG,6522.0
Arizona,2013,Biomass,26492.0
Arizona,2013,Coal,454865.0
Arizona,2013,Elec,258159.0
Arizona,2013,FossFuel,1289119.0
Arizona,2013,Geo,345.0
Arizona,2013,Hydro,56432.0
Arizona,2013,NatGas,340375.0
Arizona,2013,LPG,7576.0
Arizona,2014,Biomass,31481.0
Arizona,2014,Coal,447849.0
Arizona,2014,Elec,260328.0
Arizona,2014,FossFuel,1256577.0
Arizona,2014,Geo,345.0
Arizona,2014,Hydro,58185.0
Arizona,2014,NatGas,315448.0
Arizona,2014,LPG,7373.0
Arkansas,2010,Biomass,94865.0
Arkansas,2010,Coal,293689.0
Arkansas,2010,Elec,164439.0
Arkansas,2010,FossFuel,909827.0
Arkansas,2010,Geo,773.0
Arkansas,2010,Hydro,35697.0
Arkansas,2010,NatGas,274774.0
Arkansas,2010,LPG,10016.0
Arkansas,2011,Biomass,97160.0
Arkansas,2011,Coal,306119.0
Arkansas,2011,Elec,163530.0
Arkansas,2011,FossFuel,932878.0
Arkansas,2011,Geo,750.0
Arkansas,2011,Hydro,28738.0
Arkansas,2011,NatGas,288906.0
Arkansas,2011,LPG,8992.0
Arkansas,2012,Biomass,96248.0
Arkansas,2012,Coal,296732.0
Arkansas,2012,Elec,159885.0
Arkansas,2012,FossFuel,918078.0
Arkansas,2012,Geo,808.0
Arkansas,2012,Hydro,20921.0
Arkansas,2012,NatGas,300572.0
Arkansas,2012,LPG,7733.0
Arkansas,2013,Biomass,95356.0
Arkansas,2013,Coal,327099.0
Arkansas,2013,Elec,159283.0
Arkansas,2013,FossFuel,936796.0
Arkansas,2013,Geo,808.0
Arkansas,2013,Hydro,25329.0
Arkansas,2013,NatGas,286352.0
Arkansas,2013,LPG,8864.0
Arkansas,2014,Biomass,95963.0
Arkansas,2014,Coal,339214.0
Arkansas,2014,Elec,160638.0
Arkansas,2014,FossFuel,939788.0
Arkansas,2014,Geo,808.0
Arkansas,2014,Hydro,25104.0
Arkansas,2014,NatGas,274767.0
Arkansas,2014,LPG,9145.0
California,2010,Biomass,280124.0
California,2010,Coal,54972.0
California,2010,Elec,882107.0
California,2010,FossFuel,5741492.0
California,2010,Geo,124981.0
California,2010,Hydro,326152.0
California,2010,NatGas,2325411.0
California,2010,LPG,63022.0
California,2011,Biomass,282581.0
California,2011,Coal,55264.0
California,2011,Elec,893745.0
California,2011,FossFuel,5550201.0
California,2011,Geo,124092.0
California,2011,Hydro,413488.0
California,2011,NatGas,2196252.0
California,2011,LPG,62639.0
California,2012,Biomass,280963.0
California,2012,Coal,43832.0
California,2012,Elec,885544.0
California,2012,FossFuel,5687343.0
California,2012,Geo,121269.0
California,2012,Hydro,255384.0
California,2012,NatGas,2456371.0
California,2012,LPG,55405.0
California,2013,Biomass,294412.0
California,2013,Coal,38151.0
California,2013,Elec,891666.0
California,2013,FossFuel,5755210.0
California,2013,Geo,119556.0
California,2013,Hydro,226643.0
California,2013,NatGas,2483208.0
California,2013,LPG,54438.0
California,2014,Biomass,298473.0
California,2014,Coal,39486.0
