State,Year,TotalC,TotalP,TotalE,TotalPrice,BiomassC,CoalC,CoalP,CoalE,CoalPrice,ElecC,ElecE,ElecPrice,FossFuelC,GeoC,GeoP,HydroC,HydroP,NatGasC,NatGasE,NatGasPrice,LPGC,LPGE,LPGPrice,GDP,POPESTIMATE
Alabama,2010,1931522.0,1419613.0,21630.5,17.82,169088.0,718684.0,493094.0,2135.6,2.97,310023.0,7833.0,26.44,1785688.0,138.0,0.0,84919.0,8704.0,544405.0,3222.2,6.65,13088.0,316.7,24.2,176220.75,4785822.0
Alabama,2011,1905207.0,1400108.0,24447.7,20.1,179611.0,651032.0,468671.0,2009.7,3.09,303652.0,7846.1,27.08,1783839.0,135.0,0.0,86313.0,8884.0,609288.0,3122.6,5.72,10343.0,273.8,26.48,181923.0,4801695.0
Alabama,2012,1879716.0,1433370.0,24192.8,19.96,181878.0,547004.0,488084.0,1808.8,3.31,294055.0,7665.7,27.32,1740315.0,141.0,0.0,70754.0,7435.0,677380.0,2595.8,4.28,8628.0,212.0,24.58,187283.25,4817484.0
Alabama,2013,1919365.0,1463647.0,24127.0,19.02,194432.0,565051.0,469162.0,1731.6,3.06,299751.0,7901.4,26.47,1689491.0,141.0,0.0,123071.0,12899.0,625869.0,3090.9,5.38,9094.0,221.7,24.45,191605.25,4833996.0
Alabama,2014,1958221.0,1353725.0,24146.5,18.64,186649.0,575912.0,414366.0,1677.3,2.91,308765.0,8363.3,27.2,1724891.0,141.0,0.0,90030.0,9467.0,651532.0,3521.2,5.81,8460.0,226.6,26.79,197534.5,4849377.0
Alaska,2010,653221.0,1738207.0,6473.9,20.13,4178.0,14548.0,33556.0,49.9,3.43,21315.0,912.4,43.29,634777.0,153.0,0.0,13982.0,1433.0,334978.0,479.2,6.41,1353.0,35.6,26.79,54220.0,713856.0
Alaska,2011,653637.0,1641980.0,8050.4,24.91,4247.0,15481.0,33524.0,59.6,3.85,21562.0,1004.6,47.13,635981.0,214.0,0.0,13066.0,1345.0,339819.0,545.1,6.61,1247.0,36.9,29.78,59318.25,722572.0
Alaska,2012,649341.0,1563102.0,7884.5,25.09,4032.0,15521.0,31332.0,63.0,4.06,21893.0,1035.0,47.84,629768.0,186.0,0.0,14988.0,1575.0,347228.0,513.9,6.26,1314.0,36.0,27.47,61613.5,731081.0
Alaska,2013,621107.0,1513859.0,7281.9,24.6,5168.0,14819.0,24917.0,72.6,4.9,21387.0,1005.2,48.37,600660.0,186.0,0.0,13696.0,1435.0,332963.0,495.4,6.78,1272.0,33.2,26.07,59890.75,737259.0
Alaska,2014,603119.0,1475129.0,6890.6,24.43,5476.0,18225.0,22944.0,88.8,4.87,21034.0,1055.8,51.27,581369.0,186.0,0.0,14633.0,1539.0,329585.0,480.8,6.99,1190.0,32.9,27.65,58066.75,736732.0
Arizona,2010,1383531.0,580948.0,19372.7,22.25,29289.0,457909.0,167930.0,829.1,1.81,248506.0,7058.8,28.4,1292346.0,339.0,0.0,64606.0,6622.0,336208.0,2198.8,6.86,7838.0,219.9,28.05,247333.0,2922297.0
Arizona,2011,1424944.0,617956.0,22628.6,25.62,28565.0,459909.0,174841.0,917.2,1.99,255708.0,7278.6,28.46,1253992.0,345.0,0.0,89135.0,9174.0,293134.0,2084.4,7.45,8759.0,279.9,31.96,255620.5,2938430.0
Arizona,2012,1395839.0,598039.0,22872.4,26.41,27267.0,420570.0,161374.0,879.9,2.09,256116.0,7361.0,28.74,1248032.0,345.0,0.0,63918.0,6717.0,339043.0,1802.3,5.52,6522.0,188.4,28.88,266130.75,2949300.0
Arizona,2013,1414383.0,594994.0,22841.1,26.05,26492.0,454865.0,163691.0,946.8,2.08,258159.0,7669.3,29.71,1289119.0,345.0,0.0,56432.0,5915.0,340375.0,2026.2,6.19,7576.0,223.3,29.47,271072.5,2958765.0
Arizona,2014,1422590.0,635050.0,22609.6,25.94,31481.0,447849.0,173337.0,944.6,2.11,260328.0,7764.4,29.83,1256577.0,345.0,0.0,58185.0,6118.0,315448.0,2155.7,7.15,7373.0,223.2,30.28,281558.75,2966369.0
Arkansas,2010,1120632.0,1247709.0,12269.4,16.9,94865.0,293689.0,718.0,510.6,1.74,164439.0,3393.3,21.57,909827.0,773.0,0.0,35697.0,3659.0,274774.0,1791.7,7.23,10016.0,224.3,22.4,104928.75,6411999.0
