State,Year,Source,Total
Alabama,2010,Coal,493094.0
Alabama,2010,Geo,0.0
Alabama,2010,Hydro,8704.0
Alabama,2010,GD,176220.75
Alabama,2011,Coal,468671.0
Alabama,2011,Geo,0.0
Alabama,2011,Hydro,8884.0
Alabama,2011,GD,181923.0
Alabama,2012,Coal,488084.0
Alabama,2012,Geo,0.0
Alabama,2012,Hydro,7435.0
Alabama,2012,GD,187283.25
Alabama,2013,Coal,469162.0
Alabama,2013,Geo,0.0
Alabama,2013,Hydro,12899.0
Alabama,2013,GD,191605.25
Alabama,2014,Coal,414366.0
Alabama,2014,Geo,0.0
Alabama,2014,Hydro,9467.0
Alabama,2014,GD,197534.5
Alaska,2010,Coal,33556.0
Alaska,2010,Geo,0.0
Alaska,2010,Hydro,1433.0
Alaska,2010,GD,54220.0
Alaska,2011,Coal,33524.0
Alaska,2011,Geo,0.0
Alaska,2011,Hydro,1345.0
Alaska,2011,GD,59318.25
Alaska,2012,Coal,31332.0
Alaska,2012,Geo,0.0
Alaska,2012,Hydro,1575.0
Alaska,2012,GD,61613.5
Alaska,2013,Coal,24917.0
Alaska,2013,Geo,0.0
Alaska,2013,Hydro,1435.0
Alaska,2013,GD,59890.75
Alaska,2014,Coal,22944.0
Alaska,2014,Geo,0.0
Alaska,2014,Hydro,1539.0
Alaska,2014,GD,58066.75
Arizona,2010,Coal,167930.0
Arizona,2010,Geo,0.0
Arizona,2010,Hydro,6622.0
Arizona,2010,GD,247333.0
Arizona,2011,Coal,174841.0
Arizona,2011,Geo,0.0
Arizona,2011,Hydro,9174.0
Arizona,2011,GD,255620.5
Arizona,2012,Coal,161374.0
Arizona,2012,Geo,0.0
Arizona,2012,Hydro,6717.0
Arizona,2012,GD,266130.75
Arizona,2013,Coal,163691.0
Arizona,2013,Geo,0.0
Arizona,2013,Hydro,5915.0
Arizona,2013,GD,271072.5
Arizona,2014,Coal,173337.0
Arizona,2014,Geo,0.0
Arizona,2014,Hydro,6118.0
Arizona,2014,GD,281558.75
Arkansas,2010,Coal,718.0
Arkansas,2010,Geo,0.0
Arkansas,2010,Hydro,3659.0
Arkansas,2010,GD,104928.75
Arkansas,2011,Coal,2985.0
Arkansas,2011,Geo,0.0
Arkansas,2011,Hydro,2958.0
Arkansas,2011,GD,109378.25
Arkansas,2012,Coal,2077.0
Arkansas,2012,Geo,0.0
Arkansas,2012,Hydro,2198.0
Arkansas,2012,GD,111541.0
Arkansas,2013,Coal,1433.0
Arkansas,2013,Geo,0.0
Arkansas,2013,Hydro,2655.0
Arkansas,2013,GD,116651.5
Arkansas,2014,Coal,1864.0
Arkansas,2014,Geo,0.0
Arkansas,2014,Hydro,2640.0
Arkansas,2014,GD,121064.75
California,2010,Coal,0.0
California,2010,Geo,12600.0
California,2010,Hydro,33431.0
California,2010,GD,1960935.0
California,2011,Coal,0.0
California,2011,Geo,12552.0
California,2011,Hydro,42557.0
California,2011,GD,2031347.75
California,2012,Coal,0.0
California,2012,Geo,12519.0
California,2012,Hydro,26837.0
California,2012,GD,2121602.25
California,2013,Coal,0.0
California,2013,Geo,12307.0
California,2013,Hydro,23755.0
California,2013,GD,2215231.5
California,2014,Coal,0.0
California,2014,Geo,12102.0
California,2014,Hydro,16531.0
California,2014,GD,2324995.5
Colorado,2010,Coal,551825.0
Colorado,2010,Geo,0.0
Colorado,2010,Hydro,1578.0
Colorado,2010,GD,258148.25
Colorado,2011,Coal,586847.0
Colorado,2011,Geo,0.0
Colorado,2011,Hydro,2083.0
Colorado,2011,GD,266796.25
Colorado,2012,Coal,629645.0
Colorado,2012,Geo,0.0
Colorado,2012,Hydro,1497.0
Colorado,2012,GD,277646.75
Colorado,2013,Coal,529096.0
Colorado,2013,Geo,0.0
Colorado,2013,Hydro,1213.0
Colorado,2013,GD,288809.0
Colorado,2014,Coal,528242.0
Colorado,2014,Geo,0.0
Colorado,2014,Hydro,1770.0
Colorado,2014,GD,305366.75
Connecticut,2010,Coal,0.0
Connecticut,2010,Geo,0.0
Connecticut,2010,Hydro,391.0
Connecticut,2010,GD,230357.25
Connecticut,2011,Coal,0.0
Connecticut,2011,Geo,0.0
Connecticut,2011,Hydro,567.0
Connecticut,2011,GD,232270.75
Connecticut,2012,Coal,0.0
Connecticut,2012,Geo,0.0
Connecticut,2012,Hydro,312.0
