Year,2020,,,2016,,,,2012,,,2008,,,2004,,,2000,,,,1996,,,,1992,,,,1988,,,1984,,,1980,,,,1976,,,1972,,,1968,,,,1964,,,1960,,,,1956,,,,1952,,,1948,,,,,1944,,,1940,,,1936,,,1932,,,,1928,,,1924,,,,1920,,,,1916,,,,1912,,,,,1908,,,,1904,,,,1900,,,1896,,,1892,,,,1888,,,1884,,,1880,,,,1876,,,1872,,,1868,,,1864,,,1860,,,,,1856,,,,1852,,,,1848,,,,1844,,,,1840,,,1836,,,,,1832,,,,1828,,
State,Total,"Biden, Joe - Democratic","Trump, Donald - Republican",Total,"Clinton, Hillary - Democratic","Trump, Donald - Republican","Johnson, Gary - Libertarian",Total,"Obama, Barack - Democratic","Romney, Mitt - Republican",Total,"Obama, Barack - Democratic","McCain, John - Republican",Total,"Kerry, John - Democratic","Bush, George W. - Republican",Total,"Gore, Al - Democratic","Bush, George W. - Republican","Nader, Ralph - Green",Total,"Clinton, Bill - Democratic","Dole, Bob - Republican","Perot, Ross - Reform",Total,"Clinton, Bill - Democratic","Bush, George H.W. - Republican","Perot, Ross - Independent",Total,"Dukakis, Michael - Democratic","Bush, George H.W. - Republican",Total,"Mondale, Walter - Democratic","Reagan, Ronald - Republican",Total,"Carter, Jimmy - Democratic","Reagan, Ronald - Republican","Anderson, John - Independent",Total,"Carter, Jimmy - Democratic","Ford, Gerald - Republican",Total,"McGovern, George - Democratic","Nixon, Richard - Republican",Total,"Humphrey, Hubert - Democratic","Nixon, Richard - Republican","Wallace, George - American Independent",Total,"Johnson, Lyndon (LBJ) - Democratic","Goldwater, Barry - Republican",Total,"Kennedy, John (JFK) - Democratic","Nixon, Richard - Republican","Other (Unpledge Democratic, etc.)",Total,"Stevenson, Adlai - Democratic","Eisenhower, Dwight - Republican","Other (Unpledged Democratic, etc.)",Total,"Stevenson, Adlai - Democratic","Eisenhower, Dwight - Republican",Total,"Truman, Harry - Democratic","Dewey, Thomas - Republican","Thurmond, Strom - States' Rights ""Dixiecrat""","Wallace, Henry - Progressive",Total,"Roosevelt, Franklin (FDR) - Democratic","Dewey, Thomas - Republican",Total,"Roosevelt, Franklin (FDR) - Democratic","Wilkie, Wendell - Republican",Total,"Roosevelt, Franklin (FDR) - Democratic","Landon, Alf - Republican",Total,"Roosevelt, Franklin (FDR) - Democratic","Hoover, Herbert - Republican","Thomas, Norman - Socialist",Total,"Smith, Al - Democratic","Hoover, Herbert - Republican",Total,"Davis, John - Democratic","Coolidge, Calvin - Republican","LaFollette, Robert - Progressive",Total,"Cox, John - Democratic","Harding, Warren - Republican","Debs, Eugene - Socialist",Total,"Wilson, Woodrow - Democratic","Hughes, Charles - Republican","Benson, Allan - Socialist",Total,"Wilson, Woodrow - Democratic","Taft, William - Republican","Roosevelt, Theodore ""Teddy"" - Progressive ""Bull Moose""","Debs, Eugene - Socialist",Total,"Bryan, William - Democratic","Taft, William - Republican","Debs, Eugene - Socialist",Total,"Parker, Alton - Democratic","Roosevelt, Theodore (Teddy) - Republican","Debs, Eugene - Socialist",Total,"Bryan, William - Democratic","McKinley, William - Republican",Total,"Bryan, William - Democratic","McKinley, William - Republican",Total,"Cleveland, Grover - Democratic","Harrison, Benjamin - Republican","Weaver, James - Populist",Total,"Cleveland, Grover - Democratic","Harrison, Benjamin - Republican",Total,"Cleveland, Grover - Democratic","Blaine, James - Republican",Total,"Hancock, Winfield - Democratic","Garfield, James - Republican","Weaver, James - Greenback",Total,"Tilden, Samuel - Democratic","Hayes, Rutherford - Republican",Total,"Greeley, Horace - Liberal Republican/Democratic","Grant, Ulysses - Republican",Total,"Seymour, Horatio - Democratic","Grant, Ulysses - Republican",Total,"McClellan, George - Democratic","Lincoln, Abraham - National Union (Republican)",Total,"Douglas, Stephen - (Northern) Democratic","Lincoln, Abraham - Republican","Breckinridge, John - Southern Democratic","Bell, John - Constitutional Union",Total,"Buchanan, James - Democratic","Fremont, John - Republican","Fillmore, Millard - American",Total,"Pierce, Franklin - Democratic","Scott, Winfield - Whig","Hale, John - Free Soil",Total,"Cass, Lewis - Democratic","Taylor, Zachary - Whig","Van Buren, Martin - Free Soil",Total,"Polk, James - Democratic","Clay, Henry - Whig","Birney, James - Liberty",Total,"Van Buren, Martin - Democratic","Harrison, William - Whig",Total,"Van Buren, Martin - Democratic","Harrison, William - Whig","White, Hugh - Whig","Webster, Daniel - Whig",Total,"Jackson, Andrew - Democratic","Clay, Henry - National Republican","Wirt, William - Anti-Masonic",Total,"Jackson, Andrew - Democratic","Adams, John Quincy - National Republican"
Nationwide,"158,523,212","81,285,562","74,225,179","137,143,218","65,853,677","62,985,153","4,489,359","129,235,558","65,918,507","60,934,407","131,473,705","69,499,428","59,950,323","122,303,590","59,027,115","62,039,572","105,425,985","51,009,810","50,462,412","2,883,443","96,275,640","47,400,125","39,198,755","8,085,402","104,426,611","44,909,806","39,104,550","19,743,821","91,594,686","41,809,476","48,886,597","92,653,233","37,577,352","54,455,472","86,509,678","35,480,115","43,903,230","5,719,850","81,540,780","40,831,881","39,148,634","77,744,030","29,173,222","47,168,710","73,199,999","31,271,839","31,783,783","9,901,118","70,641,539","43,129,040","27,175,754","68,832,483","34,220,984","34,108,157","503,342","62,021,979","26,028,028","35,579,180","414,771","61,751,942","27,375,090","34,075,529","48,794,710","24,179,347","21,991,292","1,175,946","1,157,328","47,977,092","25,612,916","22,017,929","49,912,852","27,314,449","22,348,343","45,654,388","27,757,431","16,683,574","39,752,454","22,821,513","15,761,532","884,895","36,808,961","15,015,863","21,428,584","29,092,624","8,384,341","15,719,068","4,833,821","26,788,225","9,140,256","16,166,126","914,191","18,541,318","9,130,861","8,549,700","590,190","15,045,546","6,294,284","3,487,937","4,120,609","900,742","14,889,239","6,408,979","7,678,335","420,852","13,525,095","5,083,880","7,630,557","402,810","13,997,429","6,370,932","7,228,864","13,938,674","6,510,807","7,112,138","12,068,027","5,553,898","5,190,799","1,026,595","11,388,846","5,538,163","5,443,633","10,060,145","4,914,482","4,856,903","9,217,410","4,444,267","4,453,337","306,135","8,418,659","4,286,808","4,034,142","6,471,983","2,833,710","3,597,439","5,722,816","2,708,980","3,013,790","4,018,202","1,806,227","2,211,317","4,681,267","1,381,944","1,855,993","851,844","590,946","4,051,605","1,835,140","1,340,668","872,703","3,159,640","1,605,943","1,386,418","155,799","2,876,818","1,222,353","1,360,235","291,475","2,703,864","1,339,570","1,300,157","62,054","2,412,694","1,129,645","1,275,583","1,502,811","763,291","549,907","146,107","41,201","1,283,720","702,735","474,107","99,817","1,149,216","642,806","501,967"
Alabama,"2,323,282","849,624","1,441,170","2,123,372","729,547","1,318,255","44,467","2,074,338","795,696","1,255,925","2,099,819","813,479","1,266,546","1,883,449","693,933","1,176,394","1,672,551","695,602","944,409","18,349","1,534,349","662,165","769,044","92,149","1,688,060","690,080","804,283","183,109","1,378,476","549,506","815,576","1,441,713","551,899","872,849","1,341,929","636,730","654,192","16,481","1,182,850","659,170","504,070","1,006,093","256,923","728,701","1,049,917","196,579","146,923","691,425","689,817",0,"479,085","564,473","318,303","237,981","8,189","496,871","280,844","195,694","20,333","426,120","275,075","149,231","214,980",0,"40,930","171,443","1,522","244,743","198,918","44,540","294,219","250,726","42,184","275,744","238,196","35,358","245,354","207,910","34,675","2,030","248,981","127,796","120,725","162,355","113,138","40,615","8,040","260,307","160,560","96,589","2,402","130,728","99,409","28,662","1,916","117,869","82,438","9,717","22,680","3,029","105,152","74,391","25,561","1,450","108,785","79,797","22,472",853,"159,692","97,129","55,612","194,580","130,298","55,673","232,543","138,135","9,184","84,984","175,085","117,314","57,177","153,624","92,736","59,444","151,902","91,130","56,350","4,422","171,699","102,989","68,708","169,716","79,444","90,272","149,594","72,921","76,667",,,,"90,122","13,618",0,"48,669","27,835","75,291","46,739",0,"28,552","44,147","26,881","15,061",0,"61,659","31,173","30,482",0,"63,403","37,401","26,002",0,"62,511","33,996","28,515","37,296","20,638",0,"16,658",0,"14,291","14,286",5,0,"18,618","16,736","1,878"
Alaska,"359,530","153,778","189,951","318,608","116,454","163,387","18,725","300,495","122,640","164,676","326,197","123,594","193,841","312,598","111,025","190,889","285,560","79,004","167,398","28,747","241,620","80,380","122,746","26,333","258,506","78,294","102,000","73,481","200,116","72,584","119,251","207,605","62,007","138,377","158,445","41,842","86,112","11,155","123,574","44,058","71,555","95,219","32,967","55,349","83,035","35,411","37,600","10,024","67,259","44,329","22,930","60,762","29,809","30,953",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,"3,397,388","1,672,143","1,661,686","2,604,657","1,161,167","1,252,401","106,327","2,306,559","1,025,232","1,233,654","2,303,838","1,034,707","1,230,111","2,016,102","893,524","1,104,294","1,534,113","685,341","781,652","45,645","1,404,405","653,288","622,073","112,072","1,487,006","543,050","572,086","353,741","1,171,873","454,029","702,541","1,025,897","333,854","681,416","873,945","246,843","529,688","76,952","742,719","295,602","418,642","653,505","198,540","402,812","486,936","170,514","266,721","46,573","480,770","237,753","242,535","398,491","176,781","221,241",469,"290,173","112,880","176,990",303,"260,570","108,528","152,042","177,065","95,251","77,597",0,"3,310","137,634","80,926","56,287","150,039","95,267","54,030","124,163","86,722","33,433","118,251","79,264","36,104","2,618","91,254","38,537","52,533","73,961","26,235","30,516","17,210","66,562","29,546","37,016",0,"58,021","33,170","20,524","3,174","23,722","10,324","3,021","6,949","3,163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,"1,219,069","423,932","760,647","1,130,676","380,494","684,872","29,949","1,069,468","394,409","647,744","1,086,617","422,310","638,017","1,054,945","469,953","572,898","921,781","422,768","472,940","13,421","884,262","475,171","325,416","69,884","950,653","505,823","337,324","99,132","827,738","349,237","466,578","884,406","338,646","534,774","837,582","398,041","403,164","22,468","769,396","499,614","268,753","647,666","198,899","445,751","609,590","184,901","189,062","235,627","560,426","314,197","243,264","428,509","215,049","184,508","28,952","406,572","213,277","186,287","7,008","404,800","226,300","177,155","242,475","149,659","50,959","40,068",751,"212,954","148,965","63,551","200,743","158,622","42,121","179,423","146,765","32,039","220,562","189,602","28,467","1,269","197,693","119,196","77,751","138,532","84,795","40,564","13,173","183,637","107,409","71,117","5,111","170,104","112,211","48,879","6,999","125,104","68,814","25,585","21,644","8,153","151,822","87,015","56,624","5,842","116,421","64,434","46,860","1,816","127,866","81,142","44,800","149,347","110,103","37,512","148,117","87,834","47,072","11,831","157,058","86,062","59,752","125,779","72,734","51,198","107,772","60,489","41,661","4,079","96,946","58,086","38,649","79,300","37,927","41,373","41,190","19,078","22,112",,,,"54,152","5,357",0,"28,732","20,063","32,642","21,910",0,"10,732","19,577","12,173","7,404",0,"16,888","9,301","7,587",0,"15,150","9,546","5,604",0,"11,839","6,679","5,160","3,714","2,380",0,"1,334",0,,,,,,,
California,"17,511,515","11,110,250","6,006,429","14,243,449","8,753,792","4,483,814","478,500","13,055,815","7,854,285","4,839,958","13,583,083","8,274,473","5,011,781","12,421,859","6,745,485","5,509,826","10,965,856","5,861,203","4,567,429","418,707","10,019,484","5,119,835","3,828,380","697,847","11,131,721","5,121,325","3,630,574","2,296,006","9,887,064","4,702,233","5,054,917","9,505,423","3,922,519","5,467,009","8,587,063","3,083,661","4,524,858","739,833","7,867,117","3,742,284","3,882,244","8,367,862","3,475,847","4,602,096","7,251,587","3,244,318","3,467,664","487,270","7,057,586","4,171,877","2,879,108","6,506,578","3,224,099","3,259,722","22,757","5,466,355","2,420,135","3,027,668","18,552","5,341,603","2,257,646","3,035,587","4,021,538","1,913,134","1,895,269","1,228","190,381","3,520,875","1,988,564","1,512,965","3,268,791","1,877,618","1,351,419","2,638,882","1,766,836","836,431","2,267,966","1,324,157","847,902","63,299","1,796,656","614,365","1,162,323","1,281,900","105,514","733,250","424,649","944,050","229,191","624,992","64,076","999,603","466,289","462,516","42,898","677,944","283,436","3,914","283,610","79,201","386,597","127,492","214,398","28,659","331,878","89,404","205,226","29,535","302,318","124,985","164,755","298,419","144,766","146,688","269,609","118,174","118,027","25,311","251,339","117,729","124,816","196,988","89,288","102,369","164,218","80,426","80,282","3,381","155,784","76,460","79,258","95,785","40,717","54,007","108,656","54,068","54,588","105,890","43,837","62,053","119,827","37,999","38,733","33,969","9,111","110,255","53,342","20,704","36,195","76,810","40,721","35,972",61,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"3,256,980","1,804,352","1,364,607","2,780,247","1,338,870","1,202,484","144,121","2,571,846","1,323,102","1,185,243","2,401,462","1,288,633","1,073,629","2,130,325","1,001,725","1,101,256","1,741,365","738,227","883,745","91,434","1,510,704","671,152","691,848","99,629","1,569,180","629,681","562,850","366,010","1,372,394","621,453","728,177","1,295,381","454,974","821,818","1,184,415","367,973","652,264","130,633","1,081,135","460,353","584,367","953,884","329,980","597,189","811,199","335,174","409,345","60,813","776,986","476,024","296,767","736,246","330,629","402,242","3,375","663,074","263,997","394,479","4,598","630,103","245,504","379,782","515,237","267,288","239,714",0,"6,115","505,039","234,331","268,731","549,004","265,554","279,576","488,684","295,021","181,267","457,696","250,877","189,617","13,591","392,242","133,131","253,872","342,260","75,238","195,171","69,945","292,053","104,936","173,248","8,046","294,375","178,816","102,308","10,049","266,880","114,232","58,386","72,306","16,418","263,858","126,644","123,693","7,960","243,667","100,105","134,661","4,304","221,408","122,733","93,072","189,539","161,005","26,271","93,891",0,"38,620","53,584","91,946","37,549","50,772","66,519","27,723","36,084","53,546","24,647","27,450","1,435",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,"1,824,280","1,080,680","715,291","1,644,920","897,572","673,215","48,676","1,558,993","905,109","634,899","1,646,793","997,773","629,428","1,578,769","857,488","693,826","1,459,525","816,015","561,094","64,452","1,392,614","735,740","483,109","139,523","1,616,332","682,318","578,313","348,771","1,443,394","676,584","750,241","1,466,900","569,597","890,877","1,406,285","541,732","677,210","171,807","1,381,526","647,895","719,261","1,384,277","555,498","810,763","1,256,232","621,561","556,721","76,650","1,218,578","826,269","390,996","1,222,883","657,055","565,813",15,"1,117,121","405,079","711,837",205,"1,096,911","481,649","611,012","883,518","423,297","437,754",0,"13,713","831,990","435,146","390,527","781,502","417,621","361,819","690,723","382,129","278,685","594,183","281,632","288,420","20,480","553,124","252,085","296,641","400,295","110,184","246,322","42,416","365,518","120,721","229,238","10,350","213,874","99,786","106,514","5,179","190,404","74,561","68,324","34,129","10,056","190,003","68,255","112,915","5,113","191,128","72,909","111,089","4,543","180,195","74,014","102,572","174,390","56,740","110,285","164,595","82,395","77,032",809,"153,978","74,920","74,584","137,257","67,182","65,898","132,798","64,411","67,071",868,"122,134","61,927","59,033","96,009","45,695","50,314","98,632","47,844","50,788","86,981","42,288","44,693","80,745","17,364","43,486","16,558","3,337","80,329","34,997","42,717","2,615","66,781","33,249","30,359","3,161","62,398","27,051","30,318","5,005","64,616","29,841","32,832","1,943","56,879","25,281","31,598","38,093","19,294","18,799",0,0,"32,833","11,269","18,155","3,409","19,378","4,448","13,829"
Delaware,"504,346","296,268","200,603","443,814","235,603","185,127","14,757","413,921","242,584","165,484","412,616","255,459","152,374","375,270","200,152","171,660","327,622","180,068","137,288","8,307","271,084","140,355","99,062","28,719","289,735","126,054","102,313","59,213","249,891","108,647","139,639","254,572","101,656","152,190","235,668","105,754","111,252","16,288","235,834","122,596","109,831","235,516","92,283","140,357","214,367","89,194","96,714","28,459","201,320","122,704","78,078","196,683","99,590","96,373",720,"177,988","79,421","98,057",510,"174,025","83,315","90,059","139,073","67,813","69,588",0,"1,050","125,361","68,166","56,747","136,374","74,599","61,440","127,603","69,702","57,236","112,901","54,319","57,073","1,376","105,891","36,643","68,860","90,885","33,445","52,441","4,979","94,875","39,911","52,858",988,"51,810","24,753","26,011",480,"48,694","22,631","15,998","8,886",556,"48,007","22,055","25,014",239,"43,856","19,347","23,705",146,"41,989","18,852","22,535","38,456","16,574","20,450","37,235","18,581","18,077",0,"29,764","16,414","12,950","29,984","16,957","12,953","29,458","15,181","14,148",129,"24,133","13,381","10,752","21,822","10,205","11,129","18,571","10,957","7,614","16,922","8,767","8,155","16,115","1,066","3,822","7,339","3,888","14,598","8,004",310,"6,275","12,673","6,318","6,293",62,"12,432","5,910","6,440",82,"12,247","5,970","6,271",0,"10,852","4,872","5,967","8,895","4,154","4,736",0,0,"8,386","4,110","4,276",0,,,
