date,month,year,timeofday,country,state,type,duration
588,10,1949,night,us,tx,cylinder,2700
588,10,1949,night,us,tx,light,7200
2779,10,1955,afternoon,gb,,circle,20
3145,10,1956,night,us,tx,circle,20
4606,10,1960,night,us,hi,light,900
4971,10,1961,night,us,tn,sphere,300
6432,10,1965,night,gb,,circle,180
6432,10,1965,night,us,ct,disk,1200
6797,10,1966,night,us,al,disk,180
6797,10,1966,night,us,fl,disk,120
7528,10,1968,afternoon,us,ca,circle,300
7528,10,1968,night,us,nc,fireball,180
8258,10,1970,afternoon,us,ny,disk,1800
8258,10,1970,night,us,ky,unknown,180
8623,10,1971,night,us,nc,oval,30
8989,10,1972,night,us,ky,circle,1200
8989,10,1972,night,us,mi,disk,120
9354,10,1973,night,us,ct,disk,1800
9719,10,1974,night,us,ma,other,2700
9719,10,1974,night,gb,,disk,1200
9719,10,1974,night,us,ks,light,1200
10084,10,1975,afternoon,us,sc,light,360
10450,10,1976,night,us,wa,oval,60
10450,10,1976,night,gb,,cigar,3
10815,10,1977,afternoon,us,tx,other,30
10815,10,1977,night,us,ky,light,30
11180,10,1978,night,us,ny,rectangle,300
11545,10,1979,night,us,ny,chevron,900
11545,10,1979,night,ca,ab,triangle,270
11545,10,1979,night,us,ca,oval,180
11545,10,1979,night,us,co,unknown,1800
11911,10,1980,night,us,tx,sphere,180
11911,10,1980,night,us,tx,unknown,300
11911,10,1980,night,us,nh,light,300
13372,10,1984,night,us,tx,circle,60
13372,10,1984,afternoon,us,mi,other,120
13372,10,1984,night,us,ny,formation,20
13737,10,1985,night,gb,,triangle,600
14102,10,1986,night,us,ny,chevron,180
14833,10,1988,afternoon,us,wi,triangle,600
14833,10,1988,night,us,me,unknown,120
14833,10,1988,night,us,co,light,60
14833,10,1988,night,us,wa,unknown,2
15198,10,1989,night,us,ca,disk,300
15198,10,1989,night,us,wa,triangle,60
15198,10,1989,night,us,ky,triangle,180
15563,10,1990,night,us,ga,triangle,120
15928,10,1991,night,us,nc,unknown,1800
15928,10,1991,night,us,pa,triangle,600
16294,10,1992,afternoon,us,fl,formation,3600
16294,10,1992,afternoon,us,tx,unknown,10
16294,10,1992,night,us,tn,cigar,60
16294,10,1992,night,us,tx,unknown,30
16659,10,1993,night,us,il,light,8
16659,10,1993,night,us,tn,other,60
17024,10,1994,afternoon,us,tx,cigar,3600
17024,10,1994,afternoon,us,ny,rectangle,120
17024,10,1994,night,us,ar,light,5
17024,10,1994,night,ca,on,sphere,3600
17389,10,1995,night,us,wi,unknown,120
17389,10,1995,night,us,ca,unknown,60
17755,10,1996,night,us,mo,triangle,3
17755,10,1996,night,us,sc,light,300
17755,10,1996,night,us,oh,cylinder,60
18120,10,1997,afternoon,us,in,delta,14400
18120,10,1997,afternoon,us,az,sphere,30
18120,10,1997,night,us,ga,triangle,300
18120,10,1997,night,us,mn,other,3600
18485,10,1998,night,us,ca,changing,300
18485,10,1998,night,us,az,fireball,15
18485,10,1998,afternoon,us,il,cylinder,1800
18485,10,1998,afternoon,us,nv,cigar,600
18485,10,1998,afternoon,us,nv,circle,2700
18485,10,1998,night,us,ny,triangle,60
18485,10,1998,night,us,wa,triangle,600
18485,10,1998,night,us,nc,light,2
18485,10,1998,night,ca,nf,egg,7200
18485,10,1998,night,us,tn,fireball,15
18850,10,1999,night,us,ca,changing,3600
18850,10,1999,night,us,ks,unknown,600
18850,10,1999,morning,us,tx,other,10
18850,10,1999,morning,us,ca,fireball,3600
18850,10,1999,afternoon,us,wa,sphere,45
18850,10,1999,night,us,ca,circle,90
18850,10,1999,night,us,nv,light,10800
18850,10,1999,night,us,ne,sphere,300
18850,10,1999,night,us,fl,triangle,120
18850,10,1999,night,us,or,chevron,240
18850,10,1999,night,us,mi,oval,2700
19216,10,2000,night,us,mo,oval,180
19216,10,2000,morning,us,fl,other,10
19216,10,2000,morning,ca,bc,cylinder,30
